statefip,year,tfr,ue,state.name,tfr.filt
alabama,2001,2.21849837918014,0.0763642806520199,Alabama,
alabama,2002,2.29547907496747,0.0821651090342679,Alabama,2.14519014411287
alabama,2003,1.92159297819101,0.0852303769805136,Alabama,2.10871822009277
alabama,2004,2.10908260711985,0.0773922988943957,Alabama,2.0411359633434
alabama,2005,2.09273230471934,0.079488715797883,Alabama,2.10795136201455
alabama,2006,2.12203917420445,0.0746413338503296,Alabama,2.08121503997939
alabama,2007,2.02887364101437,0.0740205101235866,Alabama,2.11053710138653
alabama,2008,2.18069848894076,0.0743443999483271,Alabama,2.13320177601769
alabama,2009,2.19003319809793,0.11572738347118,Alabama,2.15050016578075
alabama,2010,2.08076881030355,0.122024404880976,Alabama,2.11623404587447
alabama,2011,2.07790012922192,0.127531357298017,Alabama,2.05113778161795
alabama,2012,1.99474440532837,0.112492811960897,Alabama,1.97660580756223
alabama,2013,1.85717288813639,0.106425847305174,Alabama,1.8769200196093
alabama,2014,1.77884276536314,0.0919783752191701,Alabama,1.81880638363994
alabama,2015,1.82040349742029,0.0858108108108108,Alabama,
alaska,2001,2.47862189226247,0.0608917197452229,Alaska,
alaska,2002,2.6575793975451,0.0825101685066822,Alaska,2.53027314953941
alaska,2003,2.45461815881065,0.0793165008926294,Alaska,2.48244643767239
alaska,2004,2.33514175666142,0.0807551127425275,Alaska,2.38108015991089
alaska,2005,2.35348056426059,0.111206159110351,Alaska,2.6322032779825
alaska,2006,3.20798751302549,0.116063919259882,Alaska,2.76483484347679
alaska,2007,2.73303645314431,0.0996649916247906,Alaska,3.02882623984149
alaska,2008,3.14545475335469,0.0919831223628692,Alaska,3.0896432518791
alaska,2009,3.39043854913831,0.124393471548302,Alaska,3.09940650671203
alaska,2010,2.76232621764309,0.122850122850123,Alaska,3.08426993166892
alaska,2011,3.10004502822536,0.124948453608247,Alaska,2.83097198719178
alaska,2012,2.6305447157069,0.125,Alaska,2.69208107056455
alaska,2013,2.34565346776139,0.126852659110724,Alaska,2.49398174820197
alaska,2014,2.50574706113762,0.116043956043956,Alaska,2.46279543029599
alaska,2015,2.53698576198895,0.108615948670944,Alaska,
arizona,2001,2.47970070070353,0.0683267537200122,Arizona,
arizona,2002,2.31817397302856,0.0805380272334773,Arizona,2.43651062033044
arizona,2003,2.51165718725924,0.0793928779918272,Arizona,2.41252059744233
arizona,2004,2.4077306320392,0.0696733593047648,Arizona,2.48431189721095
arizona,2005,2.53354787233441,0.0681919920417807,Arizona,2.38721415589274
arizona,2006,2.22036396330462,0.0552685446924652,Arizona,2.39448263482919
arizona,2007,2.42953606884856,0.0635005336179296,Arizona,2.35663323264755
arizona,2008,2.41999966578947,0.064747856903405,Arizona,2.37709584935624
arizona,2009,2.28175181343067,0.107755222703981,Arizona,2.28073828891907
arizona,2010,2.14046338753705,0.128384710234279,Arizona,2.21288014106589
arizona,2011,2.21642522222994,0.124822623150213,Arizona,2.21335030273909
arizona,2012,2.28316229845026,0.112357862044783,Arizona,2.19862212388951
arizona,2013,2.09627885098833,0.0957393733785672,Arizona,2.12388226034703
arizona,2014,1.99220563160251,0.0879862061970688,Arizona,2.05493833333722
arizona,2015,2.07633051742083,0.0739692805173808,Arizona,
arkansas,2001,2.42350040802068,0.0668425681618294,Arkansas,
arkansas,2002,2.41053194093241,0.0764781491002571,Arkansas,2.32783619194822
arkansas,2003,2.14947622689157,0.0806015037593985,Arkansas,2.19316843445813
arkansas,2004,2.01949713555041,0.0812199036918138,Arkansas,2.1508306917561
arkansas,2005,2.28351871282632,0.077186774300564,Arkansas,2.13438077364005
arkansas,2006,2.10012647254343,0.0760881363291002,Arkansas,2.17626426549365
arkansas,2007,2.14514761111119,0.0801742919389978,Arkansas,2.11958214436738
arkansas,2008,2.11347234944752,0.0741621621621622,Arkansas,2.20672834613438
arkansas,2009,2.36156507784442,0.0980932436900694,Arkansas,2.18662454603029
arkansas,2010,2.08483621079892,0.112228752260398,Arkansas,2.09901009681411
arkansas,2011,1.85062900179897,0.103680908983312,Arkansas,2.00701777713555
arkansas,2012,2.08558811880875,0.104207719948997,Arkansas,1.97188932759869
arkansas,2013,1.97945086218833,0.0910497500595096,Arkansas,2.01880241332262
arkansas,2014,1.99136825897077,0.0812754735075521,Arkansas,1.97712838514214
arkansas,2015,1.96056603426732,0.0698564593301436,Arkansas,
california,2001,2.12004592659087,0.07065099848605,California,
california,2002,2.04598022138366,0.0852736210901626,California,2.05542533730479
california,2003,2.00024986393984,0.0913337782438745,California,2.0282649643796
california,2004,2.03856480781531,0.0809899587110014,California,2.06011658114291
california,2005,2.14153507167359,0.0774881516587678,California,2.09005683621343
california,2006,2.0900706291514,0.0705581697225377,California,2.1291213957027
california,2007,2.15575848628313,0.0726716858359696,California,2.17258189703992
california,2008,2.27191657568522,0.0778497336017528,California,2.19440160392935
california,2009,2.15552974981972,0.120545191379865,California,2.14806499523944
california,2010,2.01674866021338,0.133390623508068,California,2.06904269608274
california,2011,2.03484967821512,0.130539029227218,California,2.00898682594096
california,2012,1.97536213939439,0.120671092768706,California,1.95637878485258
california,2013,1.85892453694824,0.10727741104492,California,1.89092124051355
california,2014,1.83847704519804,0.0911720383063536,California,1.82369967537196
california,2015,1.7736974439696,0.0779306513810954,California,
colorado,2001,2.19933801720787,0.0543274093339113,Colorado,
colorado,2002,2.07108891599424,0.0707936507936508,Colorado,2.06391653401911
colorado,2003,1.92132266885524,0.0735012520253351,Colorado,1.99876853563681
colorado,2004,2.00389402206095,0.0781959291257871,Colorado,2.04943039982938
colorado,2005,2.22307450857195,0.0658616296460422,Colorado,2.11652317001228
colorado,2006,2.12260097940394,0.0566781665845244,Colorado,2.19470854629775
colorado,2007,2.23845015091736,0.0583088764604906,Colorado,2.21545374337125
colorado,2008,2.28531009979245,0.047529437066509,Colorado,2.22875106692233
colorado,2009,2.16249295005717,0.085423581261222,Colorado,2.15086210764332
colorado,2010,2.00478327308033,0.0987763689718177,Colorado,2.08331920857565
colorado,2011,2.08268140258945,0.0968689951395953,Colorado,2.01218341190283
colorado,2012,1.94908556003872,0.0787732675487778,Colorado,1.98150507034534
colorado,2013,1.91274824840785,0.074807903402854,Colorado,1.94111890701625
colorado,2014,1.96152291260219,0.0582895888013998,Colorado,1.85905261069634
colorado,2015,1.70288667107897,0.0499276022952754,Colorado,
connecticut,2001,1.89847193489728,0.0496287612348574,Connecticut,
connecticut,2002,2.23597584273361,0.0662425970607589,Connecticut,2.15995026942915
connecticut,2003,2.34540303065655,0.0726827276439363,Connecticut,2.22496223026229
connecticut,2004,2.09350781739672,0.0683497536945813,Connecticut,2.17241636466556
connecticut,2005,2.07833824594343,0.0653044544340008,Connecticut,2.08841636501281
connecticut,2006,2.09340303169829,0.0638229890566339,Connecticut,2.11310549925707
