college,year,tfr,ue
FALSE,2001,2.21257531575475,0.0674746328030811
FALSE,2002,2.15664521653726,0.0807524583602561
FALSE,2003,2.05558447223479,0.0842054633207835
FALSE,2004,2.07190394670672,0.0804404740973388
FALSE,2005,2.1492647085,0.0788475240648008
FALSE,2006,2.11061113119027,0.0722148055265162
FALSE,2007,2.13288355592599,0.0728210080701071
FALSE,2008,2.25806091482967,0.0717836408456248
FALSE,2009,2.17439093373821,0.112345269988518
FALSE,2010,2.08280144006007,0.124779272941774
FALSE,2011,2.00904651928374,0.120097755322601
FALSE,2012,1.98417251832744,0.109634043409916
FALSE,2013,1.90888825004814,0.0980207333218548
FALSE,2014,1.90026935394377,0.0835655692535386
FALSE,2015,1.86935493485414,0.0727974354177987
TRUE,2001,1.86150147781371,0.0275280145914794
TRUE,2002,1.85806861974148,0.0373311901175815
TRUE,2003,1.78616804986829,0.0387321765053295
TRUE,2004,1.92343036195095,0.0345703307515982
TRUE,2005,2.01917897354277,0.0309777347531462
TRUE,2006,2.15373610124397,0.0274305862011999
TRUE,2007,1.87551251600281,0.0270416132825526
TRUE,2008,2.00287243927181,0.0269333776856614
TRUE,2009,1.98980446606854,0.0454306927458836
TRUE,2010,1.81375539010821,0.0508465773345798
TRUE,2011,2.17991880932087,0.046693753589304
TRUE,2012,1.82686742490454,0.0428831983961434
TRUE,2013,1.70724485296209,0.0391270632986203
TRUE,2014,1.74430601983903,0.0347216076369837
TRUE,2015,1.6639404556979,0.030494236781036
